Transaction ID,Customer ID,Transaction Date,Amount
T001,C092,08-12-2023,5080
T002,C076,31-07-2024,41206
T003,C032,30-12-2024,45791
T004,C099,17-09-2024,44943
T005,C077,23-08-2024,37188
T006,C006,19-01-2025,35013
T007,C055,16-07-2024,4619
T008,C065,14-03-2025,22462
T009,C002,30-07-2024,32225
T010,C014,14-06-2024,23836
T011,C082,11-12-2024,46454
T012,C020,26-12-2024,11643
T013,C094,29-03-2025,42728
T014,C035,21-08-2024,35369
T015,C100,16-08-2024,30565
T016,C056,20-12-2024,21222
T017,C032,22-12-2024,18379
T018,C058,01-10-2023,49283
T019,C060,29-04-2024,40098
T020,C086,14-12-2024,22146
T021,C004,09-10-2024,21400
T022,C024,12-07-2025,14001
T023,C046,27-11-2024,17031
T024,C044,03-08-2024,39169
T025,C090,02-07-2024,36524
T026,C002,06-11-2024,12621
T027,C011,23-11-2023,47290
T028,C053,14-11-2024,36484
T029,C098,22-08-2024,45359
T030,C061,06-06-2024,29471
T031,C003,31-12-2023,19383
T032,C029,24-05-2024,45436
T033,C032,13-04-2025,43613
T034,C075,13-03-2024,31115
T035,C071,13-04-2025,22628
T036,C055,16-01-2025,21778
T037,C046,09-10-2024,29836
T038,C035,13-07-2024,16575
T039,C030,08-12-2023,47370
T040,C025,14-01-2024,7935
T041,C096,02-08-2024,45330
T042,C024,11-02-2025,14280
T043,C095,21-07-2024,18220
T044,C093,28-09-2024,49920
T045,C068,04-01-2025,18646
T046,C013,10-01-2025,12821
T047,C038,25-11-2024,23750
T048,C023,11-07-2024,1027
T049,C091,29-05-2025,8395
T050,C036,27-11-2024,3673
T051,C071,12-08-2024,45805
T052,C017,04-01-2025,49434
T053,C063,09-11-2023,903
T054,C074,11-11-2024,30862
T055,C062,16-06-2025,22428
T056,C024,01-12-2024,16646
T057,C062,16-07-2024,4382
T058,C052,29-03-2025,4955
T059,C074,12-10-2024,10043
T060,C020,26-12-2024,5682
T061,C032,07-01-2025,36673
T062,C098,20-11-2024,39835
T063,C077,11-02-2025,40628
T064,C029,22-09-2024,25028
T065,C058,22-04-2024,19587
T066,C076,19-03-2024,20113
T067,C073,13-11-2024,4047
T068,C079,13-06-2025,6603
T069,C098,05-08-2024,41093
T070,C028,24-12-2024,43381
T071,C011,11-10-2023,15819
T072,C023,24-03-2025,5019
T073,C021,16-03-2023,26872
T074,C058,24-09-2024,30896
T075,C038,17-08-2024,15270
T076,C037,16-08-2024,46170
T077,C059,24-12-2023,45148
T078,C030,03-05-2024,41063
T079,C076,16-07-2024,13064
T080,C055,28-10-2023,35788
T081,C029,28-01-2025,9864
T082,C035,22-06-2024,4779
T083,C008,29-11-2024,20259
T084,C077,31-01-2025,37403
T085,C037,16-08-2024,8249
T086,C060,30-05-2024,20028
T087,C090,04-08-2024,17941
T088,C065,15-02-2025,32461
T089,C057,14-10-2023,39292
T090,C006,16-04-2025,48238
T091,C042,23-01-2025,16508
T092,C004,23-08-2023,15102
T093,C087,12-05-2025,37796
T094,C076,23-08-2023,44158
T095,C035,16-08-2024,2736
T096,C098,19-07-2024,30934
T097,C067,05-08-2024,18329
T098,C024,16-06-2025,41701
T099,C063,03-11-2023,30902
T100,C045,24-11-2023,21943
T101,C042,01-04-2025,6955
T102,C021,14-02-2024,27077
T103,C089,12-06-2024,18988
T104,C085,11-06-2024,49940
T105,C071,24-11-2023,29907
T106,C012,19-11-2023,16641
T107,C042,11-09-2023,26588
T108,C066,14-11-2023,43200
T109,C070,19-11-2024,27182
T110,C007,20-07-2024,34076
T111,C047,15-04-2025,49674
T112,C064,12-12-2024,29069
T113,C098,17-05-2024,13440
T114,C035,13-08-2024,8686
T115,C037,16-08-2024,45860
T116,C063,19-11-2023,1991
T117,C081,10-09-2024,46616
T118,C021,26-01-2024,36199
T119,C002,12-12-2024,26838
T120,C012,19-08-2023,7535
T121,C060,05-01-2024,42548
T122,C020,26-12-2024,47063
T123,C038,18-04-2025,46329
T124,C035,27-07-2024,31721
T125,C061,31-01-2024,30035
T126,C071,14-03-2024,25238
T127,C025,29-07-2024,49009
T128,C018,26-11-2024,4675
T129,C036,14-01-2025,22374
T130,C065,07-12-2024,268
T131,C037,16-08-2024,38565
T132,C075,09-08-2024,32189
T133,C020,26-12-2024,35396
T134,C062,10-03-2025,21886
T135,C071,26-04-2025,24820
T136,C059,06-09-2024,12463
T137,C090,23-06-2024,37573
T138,C050,22-08-2023,27020
T139,C006,20-12-2024,48904
T140,C061,11-04-2024,25402
T141,C085,08-04-2024,32561
T142,C005,13-10-2023,33018
T143,C076,29-01-2024,6677
T144,C057,03-11-2023,34568
T145,C059,28-10-2023,47446
T146,C019,02-11-2024,43011
T147,C020,25-12-2024,30868
T148,C034,10-02-2025,40945
T149,C089,06-06-2024,42687
T150,C011,01-10-2024,21632
T151,C087,06-07-2024,25004
T152,C041,27-02-2024,47201
T153,C098,26-12-2024,35556
T154,C005,15-08-2023,15485
T155,C081,05-10-2024,15008
T156,C096,04-05-2023,28540
T157,C013,04-12-2024,41633
T158,C091,18-11-2025,6686
T159,C057,10-01-2024,45582
T160,C039,01-10-2023,3114
T161,C042,12-07-2023,19326
T162,C046,24-04-2024,28325
T163,C019,21-09-2024,34910
T164,C053,13-11-2024,11240
T165,C023,25-11-2023,40043
T166,C049,10-03-2025,44869
T167,C031,15-10-2024,38317
T168,C019,18-09-2024,30321
T169,C082,15-05-2024,30218
T170,C033,11-01-2025,715
T171,C060,17-02-2024,44507
T172,C070,16-06-2024,4940
T173,C057,11-07-2024,38607
T174,C039,09-11-2024,45340
T175,C033,10-06-2024,19899
T176,C026,26-03-2024,31767
T177,C014,26-11-2023,25093
T178,C074,20-11-2024,37770
T179,C038,25-07-2025,19448
T180,C003,01-08-2025,26039
T181,C036,23-11-2024,37188
T182,C088,25-07-2024,39841
T183,C096,23-06-2024,18856
T184,C100,15-08-2024,39884
T185,C046,05-02-2024,41821
T186,C025,08-11-2023,44517
T187,C097,05-09-2024,43300
T188,C088,17-08-2024,41272
T189,C013,27-09-2024,42458
T190,C006,11-12-2024,28989
T191,C005,13-06-2024,48095
T192,C017,30-03-2024,19440
T193,C042,14-07-2024,11610
T194,C026,18-11-2023,35450
T195,C047,27-02-2025,32985
T196,C035,25-06-2024,16940
T197,C062,18-01-2025,49026
T198,C044,01-09-2023,30792
T199,C010,21-06-2024,49524
T200,C029,16-05-2024,36624
T201,C047,17-07-2024,25958
T202,C002,21-02-2024,35264
T203,C016,03-05-2025,24255
T204,C087,11-02-2025,44162
T205,C034,16-06-2025,25070
T206,C082,12-09-2024,7200
T207,C087,03-09-2023,30998
T208,C004,14-02-2025,36892
T209,C042,29-01-2025,14607
T210,C083,25-07-2023,41741
T211,C060,02-06-2024,19904
T212,C084,28-04-2024,7746
T213,C018,04-10-2023,2538
T214,C039,18-01-2025,7710
T215,C013,10-03-2024,35328
T216,C018,27-03-2024,29829
T217,C048,13-07-2024,27567
T218,C076,27-08-2024,47718
T219,C020,26-12-2024,43020
T220,C013,10-01-2025,32169
T221,C079,25-12-2024,18433
T222,C005,19-06-2024,14338
T223,C057,21-10-2024,15573
T224,C047,21-07-2024,45036
T225,C048,15-07-2024,42359
T226,C046,16-11-2023,26192
T227,C036,16-12-2024,8105
T228,C059,14-01-2024,43535
T229,C028,30-11-2025,1499
T230,C007,21-07-2024,16062
T231,C017,21-03-2025,37100
T232,C027,12-04-2024,36420
T233,C027,26-06-2024,15369
T234,C043,11-08-2025,9770
T235,C077,24-07-2024,18271
T236,C019,23-08-2024,35503
T237,C033,26-05-2025,11535
T238,C015,19-11-2024,8737
T239,C002,27-05-2024,15693
T240,C076,25-01-2024,1134
T241,C023,03-06-2024,3534
T242,C017,26-02-2025,27688
T243,C068,03-09-2024,48967
T244,C009,09-05-2024,29478
T245,C100,16-08-2024,33735
T246,C076,07-10-2023,29722
T247,C065,25-11-2024,40411
T248,C006,03-12-2024,30118
T249,C083,22-06-2023,4086
T250,C062,07-05-2025,28036
T251,C088,09-08-2024,32230
T252,C092,15-08-2024,4916
T253,C011,03-01-2024,39965
T254,C019,06-08-2024,8370
T255,C036,02-01-2025,25062
T256,C077,06-12-2024,19426
T257,C059,13-03-2025,39777
T258,C056,19-12-2024,46091
T259,C015,15-08-2025,47340
T260,C028,12-06-2025,29693
T261,C030,03-10-2024,22312
T262,C059,24-11-2024,27362
T263,C094,17-01-2024,20583
T264,C055,18-05-2024,43688
T265,C033,18-03-2024,10103
T266,C088,11-11-2024,4499
T267,C012,29-03-2023,6209
T268,C056,19-12-2024,48897
T269,C095,17-07-2024,8627
T270,C072,04-12-2024,38534
T271,C072,11-04-2025,21703
T272,C086,13-12-2024,27022
T273,C046,20-09-2024,49270
T274,C055,24-08-2023,18950
T275,C077,11-10-2024,23145
T276,C014,09-11-2024,33353
T277,C028,03-09-2024,43139
T278,C062,06-11-2024,7192
T279,C045,04-07-2024,36555
T280,C048,08-12-2023,18356
T281,C074,03-11-2024,28222
T282,C072,10-04-2025,1820
T283,C078,16-10-2025,45547
T284,C035,07-06-2024,11923
T285,C035,13-07-2024,22370
T286,C045,02-05-2023,11988
T287,C019,12-12-2024,43179
T288,C052,22-01-2024,9397
T289,C095,06-07-2024,6113
T290,C096,28-07-2024,14198
T291,C049,17-08-2024,29830
T292,C044,27-11-2023,24351
T293,C040,04-05-2024,37297
T294,C077,14-08-2024,3547
T295,C020,25-12-2024,49542
T296,C080,30-04-2024,44269
T297,C011,09-12-2023,29139
T298,C085,17-06-2024,31928
T299,C078,28-06-2025,27243
T300,C035,01-07-2024,49575
T301,C066,08-03-2024,22721
T302,C056,19-12-2024,18662
T303,C087,01-12-2024,38971
T304,C063,13-06-2024,43821
T305,C040,13-12-2023,14551
T306,C051,18-09-2025,3690
T307,C001,01-03-2024,19853
T308,C028,16-08-2024,16845
T309,C038,15-01-2025,7963
T310,C001,26-12-2024,49056
T311,C056,19-12-2024,8566
T312,C049,11-12-2024,46215
T313,C030,31-12-2024,36716
T314,C086,14-12-2024,4823
T315,C051,26-02-2024,28688
T316,C003,09-01-2025,5202
T317,C041,01-02-2024,28233
T318,C074,26-11-2024,46597
T319,C082,29-10-2024,19073
T320,C015,01-06-2025,1466
T321,C042,07-11-2023,40609
T322,C059,17-10-2024,5875
T323,C056,19-12-2024,16045
T324,C056,20-12-2024,34438
T325,C011,10-02-2024,20434
T326,C096,14-01-2024,14620
T327,C043,16-08-2025,11118
T328,C010,07-08-2024,41599
T329,C015,04-08-2025,33520
T330,C025,17-02-2024,23109
T331,C094,02-08-2025,9779
T332,C031,27-03-2024,9697
T333,C033,19-09-2023,11470
T334,C078,31-01-2025,49921
T335,C098,29-05-2024,11709
T336,C099,23-09-2024,32482
T337,C060,16-06-2024,37044
T338,C098,11-02-2025,29519
T339,C088,04-12-2024,42239
T340,C082,24-07-2024,41205
T341,C041,29-06-2023,28920
T342,C009,09-05-2024,29080
T343,C081,13-10-2024,18101
T344,C076,10-09-2023,23164
T345,C065,18-10-2024,20442
T346,C060,30-03-2024,2564
T347,C008,20-01-2025,18913
T348,C010,24-08-2024,6017
T349,C079,31-03-2025,33331
T350,C050,17-12-2023,38132
T351,C071,29-11-2023,29573
T352,C074,30-10-2024,21171
T353,C078,15-07-2025,32957
T354,C020,25-12-2024,29625
T355,C014,06-07-2025,22607
T356,C092,13-08-2023,33166
T357,C083,14-11-2023,2665
T358,C032,20-06-2025,28897
T359,C068,16-12-2024,40064
T360,C021,20-03-2024,24535
T361,C037,16-08-2024,26889
T362,C100,16-08-2024,44592
T363,C077,06-08-2024,41445
T364,C083,28-04-2024,4419
T365,C043,15-09-2023,36666
T366,C087,06-02-2024,18721
T367,C033,11-03-2025,43128
T368,C078,29-01-2025,21947
T369,C011,16-05-2024,43590
T370,C019,18-10-2024,20431
T371,C084,19-02-2025,43493
T372,C051,25-05-2024,39096
T373,C091,22-12-2025,5652
T374,C040,30-05-2024,42271
T375,C043,19-10-2023,44016
T376,C090,04-09-2024,6224
T377,C083,28-07-2024,33424
T378,C047,10-06-2024,23863
T379,C040,20-02-2024,14137
T380,C044,30-09-2025,12683
T381,C029,24-08-2023,10254
T382,C010,10-07-2024,6728
T383,C065,15-04-2025,35474
T384,C095,22-07-2024,2573
T385,C085,26-05-2024,40603
T386,C017,14-12-2024,24788
T387,C020,25-12-2024,11951
T388,C089,30-06-2024,41042
T389,C022,06-10-2024,28783
T390,C006,25-03-2025,23974
T391,C087,12-01-2025,15666
T392,C057,09-04-2025,18773
T393,C097,19-09-2024,29520
T394,C030,03-02-2025,15774
T395,C040,17-07-2024,12815
T396,C048,23-05-2024,30356
T397,C099,17-09-2024,25126
T398,C065,12-02-2025,27537
T399,C021,27-06-2025,13187
T400,C078,23-01-2025,16484
T401,C007,21-07-2024,24427
T402,C071,31-01-2024,46722
T403,C067,15-09-2023,18781
T404,C011,16-08-2024,10606
T405,C035,31-07-2024,33743
T406,C019,09-11-2024,6110
T407,C029,10-07-2024,23010
T408,C004,19-07-2024,3590
T409,C051,11-06-2025,24607
T410,C031,19-08-2024,5448
T411,C048,02-02-2024,1947
T412,C041,01-08-2024,6593
T413,C092,14-03-2025,22073
T414,C019,25-08-2024,2610
T415,C037,16-08-2024,45717
T416,C018,03-10-2024,46338
T417,C061,15-05-2024,40427
T418,C001,25-10-2023,1345
T419,C033,07-10-2023,9898
T420,C071,31-10-2025,40003
T421,C068,21-11-2024,7386
T422,C100,16-08-2024,15673
T423,C039,04-01-2024,3229
T424,C031,05-09-2024,41974
T425,C080,25-11-2024,4216
T426,C015,19-07-2025,39207
T427,C069,29-10-2023,41515
T428,C066,23-06-2025,15955
T429,C092,13-10-2023,19188
T430,C055,04-07-2023,40392
T431,C046,16-02-2024,37499
T432,C054,16-12-2023,43640
T433,C086,13-12-2024,34407
T434,C047,05-07-2024,34575
T435,C070,12-12-2024,33367
T436,C071,07-11-2023,25688
